epoch,val_accuracy,J_EE_m,J_EI_m,J_IE_m,J_II_m,J_EE_s,J_EI_s,J_IE_s,J_II_s,kappa_preE,kappa_preI,kappa_postE,kappa_postI,w_sig,b_sig
0,0.56,1.935,-1.0062,3.6377995,-1.7028,4.4413204,-1.6582118,5.0289063,-1.2416493,0.0,0.0,0.0,0.0,"[-0.19469638 -0.05042689  0.2108951   0.34115845 -0.01904933 -0.13297896
 -0.11078893 -0.2301087  -0.04012509  0.30295405  0.10815062 -0.16203247
  0.12616208 -0.2009921   0.41064677  0.10468973 -0.00798633 -0.17273821
 -0.02123489  0.26110864  0.19210924  0.21433756 -0.16569942  0.21478288
  0.14761429]",0.0
1,0.5,1.935,-1.0062,3.6377995,-1.7028,4.4413204,-1.6582118,5.0289063,-1.2416493,0.0,0.0,0.0,0.0,"[-0.1936964  -0.05142689  0.20989512  0.34015846 -0.02004932 -0.13197897
 -0.10978893 -0.2291087  -0.0391251   0.30195406  0.10715062 -0.16103248
  0.12716207 -0.19999212  0.40964678  0.10368974 -0.00698633 -0.17173822
 -0.0202349   0.26210862  0.19110925  0.21333757 -0.16469944  0.21378289
  0.1466143 ]",0.0009999884
3,0.44,1.935,-1.0062,3.6377995,-1.7028,4.4413204,-1.6582118,5.0289063,-1.2416493,0.0,0.0,0.0,0.0,"[-0.19183853 -0.05020007  0.20807828  0.3382201  -0.02070515 -0.13033776
 -0.11031869 -0.227271   -0.03730099  0.29996637  0.10543218 -0.15932602
  0.1264751  -0.19805492  0.40767002  0.10257454 -0.00519975 -0.17070915
 -0.01852378  0.2636817   0.18979226  0.21197505 -0.16275804  0.21178918
  0.14520912]",-9.777761e-05
3,0.44,1.935,-1.0062,3.6377995,-1.7028,4.4413204,-1.6582118,5.0289063,-1.2416493,0.0,0.0,0.0,0.0,"[-0.19183853 -0.05020007  0.20807828  0.3382201  -0.02070515 -0.13033776
 -0.11031869 -0.227271   -0.03730099  0.29996637  0.10543218 -0.15932602
  0.1264751  -0.19805492  0.40767002  0.10257454 -0.00519975 -0.17070915
 -0.01852378  0.2636817   0.18979226  0.21197505 -0.16275804  0.21178918
  0.14520912]",-9.777761e-05
4,0.56,1.935,-1.0062,3.6377995,-1.7028,4.4413204,-1.6582118,5.0289063,-1.2416493,0.0,0.0,0.0,0.0,"[-0.19183853 -0.05020007  0.20807828  0.3382201  -0.02070515 -0.13033776
 -0.11031869 -0.227271   -0.03730099  0.29996637  0.10543218 -0.15932602
  0.1264751  -0.19805492  0.40767002  0.10257454 -0.00519975 -0.17070915
 -0.01852378  0.2636817   0.18979226  0.21197505 -0.16275804  0.21178918
  0.14520912]",-9.777761e-05
6,0.64,1.9311459,-1.008208,3.6450593,-1.6994092,4.4324718,-1.66153,5.038959,-1.2441179,-0.0019910731,0.0019918312,-0.0019913903,0.0019918312,"[-0.19183853 -0.05020007  0.20807828  0.3382201  -0.02070515 -0.13033776
 -0.11031869 -0.227271   -0.03730099  0.29996637  0.10543218 -0.15932602
  0.1264751  -0.19805492  0.40767002  0.10257454 -0.00519975 -0.17070915
 -0.01852378  0.2636817   0.18979226  0.21197505 -0.16275804  0.21178918
  0.14520912]",-9.777761e-05
